[26.11.2025 15:29:59] | INFO | Source:  | Message: Yeni hizmet eklendi: 7/24 SOC İzleme
[26.11.2025 15:30:11] | INFO | Source:  | Message: Yeni hizmet eklendi: Ağ ve Altyapı Güvenliği
[26.11.2025 15:30:24] | INFO | Source:  | Message: Yeni hizmet eklendi: KVKK ve ISO 27001 Danışmanlığı
[26.11.2025 15:30:41] | INFO | Source:  | Message: Yeni hizmet eklendi: Siber Olay Müdahalesi
[26.11.2025 15:30:59] | INFO | Source:  | Message: Yeni hizmet eklendi: Kurumsal Farkındalık Eğitimleri
[26.11.2025 15:31:01] | INFO | Source:  | Message: Aktif Kategoriler başarıyla getirildi.
[26.11.2025 15:31:01] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:31:12] | INFO | Source:  | Message: Aktif Kategoriler başarıyla getirildi.
[26.11.2025 15:31:12] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:31:16] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 15:31:16] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:48:16] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:48:57] | INFO | Source:  | Message: SP (GetCategoryProjectCounts) başarıyla çalıştırıldı.
[26.11.2025 15:49:13] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:49:14] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:49:46] | INFO | Source:  | Message: Yeni çalışma eklendi: DDoS Saldırı Engelleme ve Trafik Analizi
[26.11.2025 15:49:46] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:49:47] | INFO | Source:  | Message: SP (GetCategoryProjectCounts) başarıyla çalıştırıldı.
[26.11.2025 15:49:57] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:50:02] | INFO | Source:  | Message: Çalışma güncellendi. ID: 16, Başlık: DDoS Saldırı Engelleme ve Trafik Analizi
[26.11.2025 15:50:02] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:50:04] | INFO | Source:  | Message: SP (GetCategoryProjectCounts) başarıyla çalıştırıldı.
[26.11.2025 15:50:08] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 15:50:08] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:50:16] | INFO | Source:  | Message: SP (GetCategoryProjectCounts) başarıyla çalıştırıldı.
